Unnamed: 0,Date_played,Rank,Tournament_tier,Tournament_name,Team_name,Money_Won
80,2020-05-28,6,C,Qume Bitcoin Cup,TSM Entity,0
81,2020-05-19,17,C,Skyesports Grand Slam: PUBGM Invitational,TSM Entity,0
82,2020-05-16,19,D,IGPL Esports Cup: Season 1,TSM Entity,0
83,2020-05-15,6,C,OR Championship - Legends Rise 2020,TSM Entity,0
84,2020-05-15,11,D,Higin TDM Championship,TSM Entity,0
85,2020-05-13,20,D,PUBGM Veteran Showdown: Captain's League,TSM Entity,0
86,2020-05-10,1,2Show M.,PUBG Mobile Pro League - South Asia Season 1: Scrims Season 3 - Week 3,TSM Entity,"$1,500"
87,2020-05-05,2,A,Gamers Without Borders 2020: Asia,TSM Entity,"$2,000"
88,2020-05-03,13,2Show M.,PUBG Mobile Pro League - South Asia Season 1: Scrims Season 3 - Week 2,TSM Entity,0
89,2020-04-26,1,C,India Today League PUBGM Invitational,TSM Entity,"$1,704"
90,2020-04-26,3,2Show M.,PUBG Mobile Pro League - South Asia Season 1: Scrims Season 3 - Week 1,TSM Entity,$500
91,2020-04-21,3,C,WAR MANIA INVITATIONAL INTERNATIONAL Season 4,TSM Entity,$395
92,2020-04-20,4,C,VLT MAJOR INVITATIONAL TOURNAMENT 2020,TSM Entity,0
93,2020-04-19,10,2Show M.,PUBG Mobile Pro League - South Asia Season 1: Scrims Season 2,TSM Entity,$100
94,2020-04-05,1,C,#GamingForGood - Charity Tourney,TSM Entity,"$1,316"
95,2020-03-31,5,2Show M.,PUBG Mobile Pro League - South Asia Season 1: Scrims Season 1,TSM Entity,$200
96,2020-01-05,17,D,Villager Esports Pro Invitational 2020,Entity Gaming,0
97,2019-12-22,4,A,PUBG Mobile All Stars India 2019,Entity Gaming,"$2,813"
98,2019-12-14,17,S,PUBG Mobile Star Challenge World Cup 2019,Entity Gaming,"$1,000"
99,2019-12-01,5,S,PUBG Mobile Club Open - Fall Split Global Finals,Entity Gaming,"$12,000"
100,2019-11-10,1,A,PUBG Mobile Club Open - Fall Split: South Asia,Entity Gaming,"$60,000"
101,2019-11-07,9,0Qualifier,PUBG Mobile Club Open - Fall Split: South Asia Play-ins,Entity Gaming,0
102,2019-09-29,14,0Qualifier,PUBG Mobile Club Open - Fall Split: South Asia Group Stage,Entity Gaming,$200
103,2019-09-29,4,A,Vodafone 5G ESL Mobile Open,Entity Gaming,"$10,941"
104,2019-07-25,3,2Show M.,Battle Adda II - Battle of Indian Streamers,Team Paritosh,0
105,2019-06-15,17,A,PUBG Mobile Club Open - Spring Split: India,SKUL,$600
